,Excess Mean
A,0.12372252026205406
AAL,-0.06459740211565823
AAPL,0.23222776960537087
ABBV,0.14140446446202823
ABT,0.11619783612239179
ACN,0.15514331562903586
ADBE,0.22224221881843254
ADI,0.1525892003535922
ADP,0.13320840506113923
AEE,0.09342389090105288
AEP,0.08318981718623289
AES,0.053039972189420206
AFL,0.1069746154720753
AGG,0.008488512062137339
AJG,0.17141668272605967
AKAM,0.08444310041395647
ALB,0.08801467809858331
ALL,0.10896826074649149
AMAT,0.22752369938455516
AMD,0.35357240417497776
AME,0.11309494621086812
AMGN,0.10970626012988025
AMZN,0.19459087402931916
ANET,0.27553880300577843
AON,0.1275989544295729
APA,-0.07687317663955624
APD,0.11273844823931062
ARE,0.09125107034202921
ATO,0.11121025694598424
AVGO,0.324351512101355
AXP,0.07957260840988352
AZO,0.1608675725322279
BAC,0.0839174767403971
BALL,0.08089444459340392
BAX,0.01022251266394661
BBY,0.09005498221104351
BDX,0.08870756777953738
BEN,-0.03443641312607909
BIO,0.08789273359626933
BKNG,0.104164849384924
BKR,0.004314398653575749
BLK,0.11190108929767455
BMY,0.017424768991527482
BND,0.009054786477810111
BR,0.17529036735080217
BRO,0.15359896740658333
C,0.012497545770938121
CAG,0.02972620306526657
CAH,0.06213420025896356
CAT,0.1379946245252577
CB,0.092509990410725
CDW,0.2293658839516352
CE,0.11555403856316053
CF,0.0718993675641314
CHRW,0.0551446309656362
CI,0.12113036994797047
CINF,0.0906867012893083
CL,0.035740760985313716
CLX,0.06304804984400088
CMCSA,0.06433790020748754
CNP,0.05034969912586088
COO,0.10373425911618006
COST,0.18522049318778572
CPB,0.020983029564594493
CPT,0.08447951905911306
CRM,0.14800447316203683
CSCO,0.10473871970449353
CTRA,-0.023675254116029682
CVS,0.026847251679204782
CVX,0.05135590733586298
D,0.0013379575081643425
DAL,0.04014684866383961
DD,0.03670612770296163
DE,0.1593967862300539
DG,0.08035498586504307
DHR,0.1910257724449206
DLR,0.13068982586191275
DOV,0.09817135544247779
DRI,0.14501136976573872
DVN,-0.005451065445540655
DXC,0.012885531877356507
ECL,0.06696415549536193
ED,0.08095943381732906
EDV,0.016027323687948226
EFX,0.13019495045407437
EG,0.09763567235896076
EIX,0.07283623043612583
EL,0.07078109105400243
EMN,0.030857459754374896
EMR,0.05379174673775826
ENPH,0.28848151309836595
EOG,0.05482126301018021
